Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
18-09-2020 18:18:07.043,,31.639461163616,,,0.133166831527778,13.9936674010833,,,345.573902484963,,2.92572280274414,90,
18-09-2020 18:18:07.088,,,,,,,5722,,,,,,
18-09-2020 18:18:07.133,,,,1.09411764705882,,,,,,209.411764705882,,,
18-09-2020 18:18:07.180,,32.1731370365775,,,0.136641482,13.9971420515556,,,356.371828831752,,2.92699397952462,91,
18-09-2020 18:18:07.226,,,,,,,5812,,,,,,
18-09-2020 18:18:07.272,,,,1.03529411764706,,,,,,203.529411764706,,,
18-09-2020 18:18:07.378,,32.9501699785452,,,0.141752346083333,14.0022529156389,,,375.233638487212,,2.67646251948799,93,
18-09-2020 18:18:07.427,,,,,,,5939,,,,,,
18-09-2020 18:18:07.477,,,,1,,,,,,200,,,
18-09-2020 18:18:07.523,,33.5250314648792,,,0.145574174972222,14.0060747445278,,,404.054316780001,,3.0882423062443,95,
18-09-2020 18:18:07.569,,,,,,,6021,,,,,,
18-09-2020 18:18:07.615,,,,0.964705882352941,,,,,,196.470588235294,,,
18-09-2020 18:18:07.657,,34.0581931311883,,,0.149162238972222,14.0096628085278,,,410.777019129962,,2.71220833318416,96,
18-09-2020 18:18:07.708,,,,,,,6104,,,,,,
18-09-2020 18:18:07.755,,,,0.976470588235294,,,,,,197.647058823529,,,
